,Listing,Price,Submodel,Mileage
0,2010 Dodge Journey,5995,SXT,134000
1,2010 Dodge Journey,7707,SXT,81584
2,2010 Dodge Journey,7457,R/T,133453
3,2010 Dodge Journey,4500,SXT,192494
4,2010 Dodge Journey,4995,SXT,129303
5,2010 Dodge Journey,6455,SXT,142721
6,2010 Dodge Journey,4999,R/T,158945
7,2010 Dodge Journey,5495,R/T,142430
8,2010 Dodge Journey,5995,SXT,128947
9,2010 Dodge Journey,4995,SXT,160220
10,2010 Dodge Journey,5995,SXT,140248
11,2010 Dodge Journey,6980,SXT,131561
12,2010 Dodge Journey,5900,SXT,152957
13,2010 Dodge Journey,5995,SXT,116603
14,2010 Dodge Journey,4999,SXT,191082
15,2010 Dodge Journey,8900,R/T,53555
16,2010 Dodge Journey,6500,SXT,139982
17,2010 Dodge Journey,6595,SXT,118749
18,2010 Dodge Journey,6999,SXT,150085
19,2010 Dodge Journey,6995,SXT,116324
20,2010 Dodge Journey,7995,SXT,104708
21,2010 Dodge Journey,2950,SE ,160949
22,2010 Dodge Journey,7000,SXT,130123
23,2010 Dodge Journey,5650,R/T,188208
24,2010 Dodge Journey,9999,R/T,69343
25,2010 Dodge Journey,4995,SXT,155755
26,2010 Dodge Journey,4995,SE ,135032
27,2010 Dodge Journey,8499,SXT,136070
28,2010 Dodge Journey,9595,SE ,77318
29,2010 Dodge Journey,8995,SE ,41344
30,2010 Dodge Journey,8999,SXT,118268
31,2010 Dodge Journey,4995,SE ,130738
32,2010 Dodge Journey,5995,SXT,196805
33,2010 Dodge Journey,12795,SXT,143636
34,2010 Dodge Journey,9900,R/T,90056
35,2010 Dodge Journey,9015,R/T,119257
36,2010 Dodge Journey,8999,SXT,79673
37,2010 Dodge Journey,11900,SXT,109242
38,2010 Dodge Journey,7495,SXT,156494
39,2010 Dodge Journey,6995,SE ,83860
40,2010 Dodge Journey,6995,R/T,135402
41,2010 Dodge Journey,6995,SE ,202370
